Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OFIX","ORTHOFIX MEDICAL INC","Health Care","Equity","150,503.04","0.00","150,503.04","9,222.00","16.32","United States","NASDAQ","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS INC","Health Care","Equity","150,278.48","0.00","150,278.48","17,116.00","8.78","United States","NASDAQ","USD","1.00","USD","-"
"ZUMZ","ZUMIEZ INC","Consumer Discretionary","Equity","150,316.40","0.00","150,316.40","5,486.00","27.40","United States","NASDAQ","USD","1.00","USD","-"
"AMBC","AMBAC FINANCIAL GROUP INC","Financials","Equity","149,646.64","0.00","149,646.64","13,208.00","11.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCBG","CAPITAL CITY BANK INC","Financials","Equity","149,224.90","0.00","149,224.90","4,630.00","32.23","United States","NASDAQ","USD","1.00","USD","-"
"DIN","DINE BRANDS GLOBAL INC","Consumer Discretionary","Equity","148,870.37","0.00","148,870.37","4,619.00","32.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RVNC","REVANCE THERAPEUTICS INC","Health Care","Equity","148,927.41","0.00","148,927.41","22,599.00","6.59","United States","NASDAQ","USD","1.00","USD","-"
"SOI","SOLARIS OILFIELD INFRASTRUCTURE IN","Energy","Equity","149,143.06","0.00","149,143.06","12,791.00","11.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAB","STANDARD BIOTOOLS INC","Health Care","Equity","149,106.60","0.00","149,106.60","82,837.00","1.80","United States","NASDAQ","USD","1.00","USD","-"
"ZYME","ZYMEWORKS INC","Health Care","Equity","149,373.00","0.00","149,373.00","14,226.00","10.50","United States","NASDAQ","USD","1.00","USD","-"
"AMPL","AMPLITUDE INC CLASS A","Information Technology","Equity","148,286.34","0.00","148,286.34","17,466.00","8.49","United States","NASDAQ","USD","1.00","USD","-"
"CSTL","CASTLE BIOSCIENCES INC","Health Care","Equity","148,021.56","0.00","148,021.56","5,454.00","27.14","United States","NASDAQ","USD","1.00","USD","-"
"CLBK","COLUMBIA FINANCIAL INC","Financials","Equity","147,886.20","0.00","147,886.20","8,730.00","16.94","United States","NASDAQ","USD","1.00","USD","-"
"EU","ENCORE ENERGY CORP","Energy","Equity","148,029.80","0.00","148,029.80","44,188.00","3.35","United States","NASDAQ","USD","1.00","USD","-"
"INOD","INNODATA INC","Industrials","Equity","148,070.88","0.00","148,070.88","8,649.00","17.12","United States","NASDAQ","USD","1.00","USD","-"
"KRRO","KORRO BIO INC","Health Care","Equity","148,108.40","0.00","148,108.40","3,284.00","45.10","United States","NASDAQ","USD","1.00","USD","-"
"OLMA","OLEMA PHARMACEUTICALS INC","Health Care","Equity","148,110.06","0.00","148,110.06","11,954.00","12.39","United States","NASDAQ","USD","1.00","USD","-"
